# List created using the lists from:
# http://www.issn.org/2-22660-LTWA.php
-agoge	-ag
lrlinge	lrl
lselig	ls
lsning	ls
lbende	lb
lnnsomhetsunderskelse	lnnsomhetsunders
lnnsstatistikk	lnnsstat
lnnstelling	lnnstell
lshed	lsh
lsning-	lsn
lvivsk-	lviv
Lviv-	Lviv
lvovsk-	lvov
maakonn-	maak
maakunt-	maak
maaltijdenverstrekk-	maaltijdenverstrekk
maamagneet-	maamagn
maandbericht-	maandber
maandblad	maandbl
maandbrief	maandbr
maandelijks	maand
maandnotitie	maandnot
maandorgan	maandorg
maandoverzicht	maandoverz
maandschrift-	maandschr
maandstatistiek	maandstat
maandverslag	maandversl
maanedsskrift	maanedsskr
maanmitta-	maanmit
maanpuolustuks-	maanpuol
maantee-	maant
maantiede	maant
maantiekuljet-	maantiekulj
maantiet-	maant
maanviljel-	maanvilj
maaparandus	maapar
maardblad	maardbl
Maasgabe	Maasg
maatalou-	maatal
maatilarekisteri	maatilarekist
maatilatalou-	maatilatal
maatschappelijk	maatsch
maatschappij	maatsch
maatskapp-	maatsk
macaronesico	macarones
macchin-	macch
macedoni-	maced
macellazione	macellaz
machin-	mach
mcana	mc
macro-economisch-	macro-econ
macrocyclic	macrocycl
macroeconom-	macroecon
macromolecul-	macromol
macronutrient-	macronutr
macroperspective	macroperspect
macroprudent-	macroprudent
macroscop-	macrosc
maconnerie	macon
Madagascar	Madag
Madagaskar	Madag
madarbarat	madarbar
madartan	madart
madarvedel-	madarved
Madrid	Madr
Madrider	Madr
madrileno	madr
madarsk-	mad
maecenat-	maecen
maendene	maend
maestr-	maest
maetschappij	maetsch
magadansk-	magadan
magaletter	magalett
magasepites	magasep
magasin	mag
magazi	mag
magazien	mag
magazijn	mag
magazin	mag
magazin-	mag
magazyn	mag
magazzin-	mag
maganepit-	maganep
maganiskola	maganisk
maganlakasepit-	maganlakep
magantervez-	maganterv
maganvallalkoz-	maganvallalk
magdalena	magdal
magdalenka	magdal
magdalenien	magdal
Magdeburg	Magdebg
Magdeburger	Magdebg
mageir-	mageir
Magenkrankheit-	Magenkrankh
maggiore	magg
Magglingen	Maggl
maghrebin	maghreb
magical	magic
magik-	magik
magistarsk-	magistar
magistrad-	magistr
magistralnyj	magistral
magistrat-	magistr
magkutat-	magkut
magli-	magl
magmati-	magmat
magmatogen-	magmatog
magmoobrazovan-	magmoobraz
magnanimo	magnan
magnesium	magnes
magnet	magn
magneti-	magn
magnetoelectroni-	magnetoelectron
magnetohimi-	magnetohim
magnetohydrodynami-	magnetohydrodyn
magnetoplasmadynami-	magnetoplasmadyn
magnetorheolog-	magnetorheol
magnetospher-	magnetos
magnetoszfera	magnetosz
magnetyczn-	magn
magnezialn-	magnez
magnezol-	magnezol
magnetohydrodynami-	magnetohydrodyn
magnetoplasmadynami-	magnetoplasmadyn
magnetotheque	magnetoth
Magnesia	Magnes
magnievyj	magniev
magnific-	magnif
magnify-	magnify
magnitn-	magn
magnitnotverd-	magnitnotverd
magnitodielektri-	magnitodielektr
magnitogidrodinam-	magnitogidrodin
magnitogorsk-	magnitogorsk
magnitosfer-	magnitos
magnitude	magnit
magyar	magy
Magyarnandor	Mnandor
Magyarorszag	Mo
Magyarpolny	Magypolny
magyarsag	magys
magyarsagkutat-	magyskut
magyartarka	magytarka
Mahackala	Mahack
mahardhika	mahard
mahasiswa	mhs
mahetik-	mahet
Mahnbrief	Mahnbr
Mahnverfahren	Mahnverfahr
mahogany	mahog
maholnap	maholn
mahorocn-	mahor
Maiduguri	Maid
maieut-	maieut
Maihing-	Maih
mail-	mail
mailbox	mailb
Maingebiet	Maingeb
mainland	mainl
maino-	main
maintain-	maint
maintainability	maintainab
maintenance	maint
maintien	maint
maintinim-	maintin
Mainzer	Mainz
maistas	maist
maitotalouden	maitotal
majalah	maj
majandus	majand
majapid-	majap
majat-	majat
majdanpeck-	majdanp
majetkove	majet
majlis	majl
majorit-	major
majstor	majst
majut-	majut
makalah	makal
makale-	makal
Makarenkianus	Makarenk
makaronn-	makaron
Makarska	Makars
Makedonija	Maked
makedonitissas	maked
makedonsk-	makedon
makeevsk-	makeev
maker	mak
maket-	maket
making	mak
Makler	Makl
maklersk-	makl
maklumat	mklm
makrobonitet-	makrobonitet
makroekonom-	makroekon
makrogazdasag	makrogazd
makromolekul-	makromol
makrookonomia	makrookon
makroskop-	makrosk
makroskopisch-	makrosk
maksaj-	maksaj
maksernieks	maksern
maktutredning	maktutred
malacitan-	malacit
malacolog-	malacol
malad-	mal
maladjusted	maladjust
malakolog-	malakol
malakologia	malakol
malakozoologisch-	malakozool
malalt-	mal
malaria	malar
malariolog-	malariol
malat-	mal
Malayan	Malay
Malaysia-	Malays
malarnyj	malarn
malbor-	malbor
Malerhandwerk	Malerhandw
Malerzeitung	Malerztg
Malesian	Males
malesianus	males
malformation	malform
malfunction	malfunct
malien	mali
malignan-	malig
mallios	mall
mallorquin	mallorq
maloizvestnyj	maloizvestn
maloljetni	maloljet
malomipar	malomip
malow-	malow
malpractice	malpract
maltdrycksforskning-	maltdrycksforsk
malterie	malt
Maltese	Malt
malting	malt
Malzfabrik-	Malzfabr
Malzindustrie	Malzind
Malzmeister	Malzmeist
mamar-	mamar
mamelle	mam
mamillaria	mamill
mammalia-	mamm
mammalog-	mammal
mammals	mamm
Mammendorf	Mammend
mammifere	mammif
mammography	mammogr
mamuller	mamul
manad-	manad
manag-	manag
manajemen	manaj
manazer	manaz
manazersky	manaz
manazment	manaz
mancheg	manch
Manchester	Manch
mandatory	mandat
mande-	mand
mandolin-	mandol
mangesprog-	mangespr
mangl-	mangl
manichean	manich
manicheen	manich
manicomio	manicom
manifestacija	manifest
manifestatie	manif
manifestation	manif
manifeste	manif
manifesto	manif
Manilana	Manil
manipul-	manip
Manitoba	Manit
manitobain	manit
manjin-	manjin
manjuric-	manjur
mankind	mank
mannekr-	mannekr
mannenkrant	mannenkr
mannenstudie	mannenstud
Mannheim	Mannh
Mannheimer	Mannh
mannsrolleutvalg	mannsrolleutv
manorial	manor
manoscritt-	manoscr
manpower	manpow
mansard-	mansard
Mansfeld-	Mansfeld
mantenimiento	manten
mantoj-	mant
mantovan-	mantov
manual	man
manuale	man
manualidad-	manualid
manuel	man
manuell-	man
manufactor-	manuf
manufactur-	manuf
manuscript	manuscr
manuscrit	manuscr
manusia	mns
Manuskr-	Manuskr
manutencion	manut
manutencao	manut
manutention	manut
manyetik	many
mapping	mapp
maquignon-	maquignon
maquill-	maquill
maquinaria	maquin
maquisard	maquis
Maramures-	Maramur
maranhense	maranh
maraton-	maraton
maravilloso	maravill
Marbach	Marb
Marburgenses	Marbg
Marburger	Marbg
marchandise	marchand
marchig-	marchig
Marchtaler	Marchtal
mareograf	mareogr
mareografs	mareogr
marganc-	margan
marganec	margan
marginal	marg
marginalny	marg
Mariacki	Mariac
marian-	marian
maricult-	maric
Mariembourg	Mariemb
marien	mar
Marienberg-	Marienb
Marienburg-	Marienbg
Mariens	Mar
marijsk-	marij
marikultura	marikult
marin-	mar
marin-	mar
mariologie	mariol
marionett-	marionett
marisquer-	marisq
marital-	marital
maritiem-	marit
maritim	marit
maritime-	marit
marittimo	maritt
maritimo	marit
marjinal	marj
markam-	markam
markanvandning	markanvandn
Markdorf	Markd
marked	mark
markedsfring	markedsfr
markedskatalog	markedskat
markedskonomi	markedskon
Markenblatt	Markenbl
Markenrecht	Markenr
Markenwesen	Markenwes
Markerwaard	Markerw
market-	mark
marketbook	marketb
marketingszakerto	markszakert
marketletter	marketlett
marketman	marketm
marketplace	marketpl
Markgrafler	Markgrafl
Markierung	Markier
Markiezaat	Markiez
markkinointi	mark
marknad	markn
Markomannia	Markomann
marks-	marks
marksituatie	marksituat
marktanalytisch-	marktanal
Marktbericht	Marktber
markteconomisch-	marktecon
Marktentwicklung	Marktentwickl
Markterschliessun	Markterschliess
Marktforschung	Marktforsch
Marktheidenfeld	Marktheidenf
Marktindikator	Marktindik
Marktorientier-	Marktorientier
marktoverzicht	marktoverz
Marktpsychologie	Marktpsychol
Marktspiegel	Marktspieg
markttechnisch	markttech
marktwijzer	marktwijz
Marktwirtschaft-	Marktwirtsch
markvetenskap-	markvetensk
Marlborough	Marlbgh
Marler	Marl
marmit-	marmit
marocain	maroc
marochinarie	marochin
Marokko	Marok
maroquinerie	maroquin
Marrickville	Marrickv
marroquineria	marroquin
marseillais	marseill
Marshalltown	Marshallt
martenov-	marten
Martinique	Martin
martiniste	martin
martovske	martov
marx-	marx
marxilaisuus	marx
Maryborough	Marybgh
Maryland	Md
marynar-	mar
marzenia	marzen
marzial-	marzial
masal-	masal
masaryk-	masaryk
Maschine	Masch
masculin	masc
masele-	masel
Maskentechni-	Maskentech
maskin-	mask
maskinhandlerforening	maskinhandlerforen
maskinkonferen-	maskinkonf
maskinprovningar	maskinprovn
maslicn-	maslicn
maslobojn-	maslob
maslodel-	maslodel
maslozirov-	maslozir
masnagitakan	masnag
masonry	mason
Masoviensis	Masov
masovn-	masov
masow-	masow
masqu-	masq
Massachusetts	Mass
massadraaiwerk	massadraaiw
massekommunikasjon	massekommun
Massenarbeit	Massenarb
Massenkommunikation	Massenkommun
Massenspektrometr-	Massenspektrom
massili-	massil
massimale	massim
masskommunikation	masskommun
Massnahme	Massn
massoobmennyj	massoobm
Masssystem	Masssyst
mastactv-	mastac
masterclass	mastercl
mastitis	mastit
mastologia	mastol
mastozoologia	mastozool
masyarakat	masy
maszyn-	masz
masin-	mas
masinobuduvan-	masinobuduv
masinogradnja	masinograd
masinostroen-	masinostr
masinostroitel-	masinostroit
masinoveden-	masinoved
mastali	mast
masin-	mas
matapedien	mataped
matavim-	matav
matchbox	matchb
matemaat-	mat
matemat-	mat
matematikaorszag	matorsz
matemat-	mat
matenadaran-	matenad
materia-	mater
material-	mater
materialhandtering	materialhandt
materialoveden-	materialoved
materialoznanie	materialozn
materials	mater
materialzinatn-	materialzinat
materiaoznawst-	materiaozn
materialovotechnolog-	materialovotechnol
materie	mater
materiel	mater
materijala	mater
materinsk-	materin
materinstv-	materin
materjal-	mater
matern-	matern
materyial-	mater
matersk-	mater
materi-	mater
mathemat-	math
mathet-	mathet
mathware	mathw
maticn-	matic
matkailija	matk
matkailu	matk
matogrossensis	matogross
Matraensis	Matra
matricul-	matricul
Matrikel	Matrik
matrimoni	matrim
matrimonial	matrim
matrimonialis	matrim
matrimonio	matrim
matritense	matr
matrosskij	matros
matrymonialny	matrym
matur-	matur
maturanski	matura
Mauerwerk	Mauerw
Mauretanien	Mauret
Mauritanie	Maurit
mauritianus	mauritian
Mauritius	Maurit
mausoleum	mausol
mavricna	mavri
maxillo-facial	maxillo-fac
maxillofacciale	maxillofacc
maxillofacial-	maxillofac
maxilo-facial	maxilo-fac
maxilofacial	maxilofac
Maximilian-	Maximil
mayorista	mayor
mazowiecki	maz
mazumtirdzniec-	mazumtirdzniec
mazursk-	mazur
maz-	maz
mazmenin-	mazm
maarsk-	ma
Maopolska	Maop
maiscoltor-	maiscolt
magneskartya	magnkty
majus	maj
malfri	malfr
malnefnd-	malnefn
marcius	marc
masodik	masod
masodnyersanyag	masodnyersa
Mateszalka	Mszalka
maconnais	macon
masn-	masn
masoprodukt-	masoprod
macib-	mac
maksl-	maksl
maarakennus	maaraken
Madchenbildung	Madchenbild
Mahren	Mahr
mahrisch-	mahr
maktab-	maktab
Malzer	Malz
Malzerei	Malz
Mannerarbeit	Mannerarb
mansklig-	manskl
markisch	mark
marklara	markl
Martyrer	Martyr
massig-	mass
matning	mat
malfrearkiv	malfreark
maling	mal
manadsblad	manadsbl
manadsskrift	manadsskr
manadsstatistik	manadsstat
manadstidning	manadstidn
manedlig	maned
manedsblad	manedsbl
manedshefte	manedsh
manedsinformasjon	manedsinf
manedsoversigt	manedsovers
manedsoversikt	manedsovers
manedsrapport	manedsrapp
manedsskrift-	manedsskr
manedsstatistikk	manedsstat
maruz-	maruz
mbrojtj-	mbroj
mcodneoba	mc
meander-	meand
meaning	mean
measur-	meas
mebelnyj	mebel
meblarsk-	mebl
mecani-	mec
mecanografico	mecanogr
mecanica	mec
meccani-	mecc
mecenazgo	mecen
mechani-	mech
mechanobiolog-	mechanobiol
mechaoptoelectron-	mechaoptoelectron
mechatronic	mechatron
Meckenheim	Meckenh
Mecklenbeck-	Mecklenbeck
Mecklenburg-	Mecklenbg
mecklenburgisch-	mecklenbg
mecmuas	mecm
mecn-	mecn
mecenyj	mecen
medagl-	medagl
Medaillenkund-	Medaillenkd
Medaillensammler	Medaillensamml
medalierstwo	medalier
medborgare	medborg
medborgarinstitut	medborgarinst
medborgarskap	medborgarsk
meddela	medd
meddelande-	medd
meddelelse	medd
medecin-	med
mededeeling-	meded
mededeling-	meded
mededing-	mededing
medelhavsmuseet	medelhavsmus
medeltidsmuse-	medeltidsmus
medeniyet-	medeni
medeplaviln-	medeplaviln
medezeggenschap	medezeggensch
medhjelper	medhj
medhjlper	medhj
mediacion	mediac
mediacao	mediac
mediaeval-	mediaev
mediageschiedenis	mediageschied
mediahandbok	mediahandb
median-	median
mediaraad	mediar
mediat-	mediat
Mediavistik	Mediav
medical	med
medicament-	medicam
medicat-	medicat
medicin-	med
medicin-	med
medicus	med
medieforsker	medieforsk
medieforskning	medieforsk
mediehandbok	mediehandb
medien-	medien
Medienanaly-	Medienanal
Medienbeschreibung	Medienbeschreib
Mediendidaktik	Mediendidakt
Medienerziehung	Medienerzieh
Medienforschung	Medienforsch
Medieninformation	Medieninf
Medienkatalog	Medienkat
Medienkultur	Medienkult
Medienmacher	Medienmach
Mediensituation-	Mediensituat
Medienspiegel	Medienspieg
Medienstatistik	Medienstat
Medientheorie	Medientheor
Medientouristik	Medientour
Medienwissenschaft	Medienwiss
Medienzentrale	Medienzent
medies-	med
mediev-	mediev
medik-	med
Medikament-	Medikam
Medikation	Medik
mediko-	med
medinstitut-	medinst
medioambiental	medioambient
medioev-	medioev
mediolanensis	mediolan
mediolatin-	mediolat
mediotechnica	mediotech
medisch-	med
Mediscript	Mediscr
medisin-	med
meditation	medit
meditativ	medit
Mediteran-	Mediter
mediterrane-	mediterr
Mediterrania	Mediterr
mediterran	mediterr
meditsiin-	med
mediu-	mediu
Medizin-	Med
medibas	medib
medlem-	medl
medlin-	medlin
mednarodn-	mednar
mednorudn-	mednorudn
medunarodni	medunar
medvjedic	medvjed
medycyn-	med
medyczn-	med
medzinarod-	medzinar
medziot-	medziot
meelfabrieken	meelfabr
Meerbusch-	Meerbusch
Meeresbiolog-	Meeresbiol
Meeresboden	Meeresbod
Meeresforschung-	Meeresforsch
Meereskund-	Meereskd
Meerestechnik	Meerestech
Meeresteil	Meerest
Meeresuntersuchung-	Meeresunters
meerjarenprogramma	meerjarenprogr
Meerschweinchen	Meerschwein
meertaligheid	meertaligh
meervoud-	meerv
meetapparaten	meetappar
meeting-	meet
meetjesland	meetjesl
megal-	megal
megalapoz-	megalap
megaltico	megalt
megalopol-	megalop
megaloshol-	megalosh
megbiz-	megb
megbizhato-	megbizh
megbizott	megb
megelozes	megeloz
megemlekezes	megeml
megfigyel-	megfigy
meghataroz-	meghat
meghatarozas	meghat
megistanas	megistan
megjelen-	megj
megnyilvanul-	megnyilv
megobari	megob
megoldas	megold
megoszlas	megoszl
megoszt-	megoszt
megszntet-	megsznt
megszun-	megsz
megujitas	megujit
megvalaszt-	megvalasz
megye	m
megyehz-	mh
megunarod-	megunar
mehani-	meh
mehanohimi-	mehanohim
mehanosbornyj	mehanosbor
mehhani-	mehh
mehilainen	mehil
Mehrfachbehindert-	Mehrfachbehind
Mehrheit	Mehrh
Mehrsprachigkeit	Mehrsprachigk
meidenwerk	meidenw
meidielingen	meid
meieriinstitutt	meieriinst
meierikalende	meierikal
meierilaboratorium	meierilab
meijeri	meij
meijeriliitto	meijeril
meijeritieteelli-	meijeritiet
Meining-	Meining
Meinung	Mein
Meisenheim	Meisenh
Meissen-	Meissen
Meisterschaft	Meistersch
Meisterwerk-	Meisterw
Meisterzeichnung-	Meisterzeichn
Meitingen	Meit
mejeriavdelning-	mejeriavd
mejeriforsok-	mejerifors
mejeritekni-	mejeritek
mejeritidning-	mejeritidn
mejicana	mej
mejor-	mejor
mekani-	mek
Meklenburg-	Meklenbg
melanes-	melanes
Melassebericht	Melasseber
Melbourne	Melb
meldepflichtig-	meldepflicht
meldesystem	meldesyst
meldetjeneste	meldetj
melding-	meld
meldingsblad	meldingsbl
melekessk-	melekessk
melete	mel
melhoramento	melhor
melhoria	melhor
meliorac-	melior
meliorati-	melior
melioracio	melior
meliss-	meliss
melissokom-	meliss
Melitensia	Melit
melitopolskij	melitop
melkeprodusent	melkeprod
melkerij	melk
melkhandel	melkhand
melkhygien-	melkhyg
melkovodn-	melkovodn
melkveehouderij	melkveehoud
mellanstad-	mellanstad
melleklet	mell
mellenyzsebkonyvtar	mellenyzsebkvt
mellitus	mellit
mellont-	mellon
melodie	melod
Melsungen	Mels
member	memb
membership	membsh
membran-	membr
membre	memb
membru	memb
memento-	mem
memetics	memet
memindvreob-	memindvr
memlekt-	memlek
Memming-	Memming
memoir	mem
memorab-	memorab
memorand-	memo
memoria	mem
memoriaal	meml
memorial	meml
memorie	mem
memory-	mem
memoria	mem
mempunyai	mempuny
memuary	mem
menadment	menad
menadzer	menadz
menadzer	menadz
menaj-	menaj
mencik-	mencik
mendeleevsk-	mendeleevsk
mendelejeffsch-	mendelejeff
Mendelian-	Mendel
menedzserkepz-	menedzserk
menedzer-	menedz
menetelma	menet
mengenal	mengen
mengkatalog	kat
menighetsarbeid	menighetsarb
meningen	mening
meningkatkan	meningkat
menning-	menn
mennonit-	mennon
menopausi-	menopaus
menorquin	menorq
menotyra	menot
menovy	menov
mensai-	mens
mensal	mens
mensario	mens
menschengerecht-	menschengerecht
Menschenkenntnis	Menschenkennt
Menschenkunde	Menschenkd
Menschenrecht	Menschenr
Menschenwesen	Menschenwes
Menschheit	Menschh
menschlich-	menschl
Menschwerdung	Menschwerd
menselijk-	mensel
mensenrecht	mensenr
mensile	mens
mensual-	mens
mensuel-	mens
mensurabilis	mensurab
mensuration	mensurat
menswear	mensw
mental-	ment
mentalhygiene	mentalhyg
mentalhigien-	mentalhig
mentalhygien-	mentalhyg
Menton-	Menton
mentoring	mentor
menuiserie	menuis
merani	mer
mercader	merc
mercado	merc
mercador-	merc
mercametrico	mercametr
mercancia	merc
mercant-	merc
mercantil-	merc
mercanzia	merc
mercat-	mercat
mercena-	mercen
merceolog-	merceol
merchandis-	merch
merchant-	merch
mercur-	mercur
merenkulkija	merenk
merenkulku	merenk
merenkyntaja	merenkynt
meridional	merid
meridionalis	merid
merimna	merim
merindad	merind
merivartioliitto	merivartiol
merkantil	merkant
merkartikel-	merkartik
merkat-	merkat
Merkblatt	Merkbl
Merkblatter	Merkbl
merkenblad	merkenbl
merkez-	merk
Merkheft	Merkh
merkkeil-	merkk
merkuriusz	merkur
merkwurdig-	merkwurd
meropriatie	meropr
Merovingicus	Meroving
Merseburg	Mersebg
Merseyside	Merseys
merveilleux	merveill
Merzhausen	Merzhaus
merzlotnyj	merzl
merzlotoveden-	merzlotoved
mesacnik	mesac
mesager-	mesag
mesaion-	mesaion
mesanatol-	mesanatol
mesec-	mesec
mesemondo	mesem
mesesorozat	mesesor
meseskonyv	meseskv
mesleg-	mesl
meslek	mesl
mesnin-	mesnin
Mesoamerica	Mesoam
mesoamericana	mesoam
Mesogeion	Mesog
mesolith-	mesolith
mesomechani-	mesomech
Mesopotamia	Mesop
mesospher-	mesos
mesostigmatolog-	mesostigmatol
mesoterapeutico	mesoter
Mesozoic	Mesoz
messag-	messag
messager	messag
messagerie	messag
messaggero	messagg
Messeausgabe	Messeausg
Messebrief	Messebr
messemagazine	messemag
messen	mess
messeniak-	messen
messin-	messin
messing	mess
Messkataloge	Messkat
Messprogramm	Messprogr
Messreaktor	Messreakt
messsystem-	messsyst
Messtechni-	Messtech
Messumformer	Messumform
Messung	Mess
Messverfahren	Messverfahr
Messwesen	Messwes
mesterseg	mesters
mestnyj	mest
mestorozden-	mestorozd
mestrado	mestr
mesure-	mes
metaal	met
metabol	metab
metabole	metab
metaboli-	metab
metabolog-	metabol
metadose	metad
metafis-	metafis
metafor-	metaf
metagg-	metagg
metaheirismen-	metaheir
metais	met
metal-	met
metalleiolog-	metalleiol
metallicesk-	met
metalloceram-	metalloceram
metallofizik-	metallofiz
metallogen-	metallog
metallograf-	metallogr
metallograph-	metallogr
metallohim-	metallohim
metallokonstruk-	metallokonstr
metallonosn-	metallonosn
metalloobrab-	metalloobrab
metalloorganni-	metalloorg
metallopromyslen-	metalloprom
metallorezusij	metallorez
metallorganic	metallorg
metallorum	met
metallosnabzen.	metallosnabz
metallotermic-	metalloterm
metallourg-	metall
metalloveden-	metalloved
metallurg-	metall
metalmecanica	metalmec
metaln-	metal
metalogenet-	metalogen
metalogenia	metalog
metalopreraiv-	metaloprera
metalorezesi	metalorez
metaloznav-	metalozn
metaloznaw-	metalozn
metalurg-	metal
metalursk-	metal
metalworker	metalwork
metalworking	metalwork
metamorf-	metamorf
metamorfogen-	metamorfog
metamorph-	metamorph
metanast-	metanast
metanoeite	metan
metaphor-	metaphor
metaphysi-	metaphys
metapoi-	metap
Metapolitik	Metapolit
metapsuh-	metapsuh
metarruth-	metarruth
metastabiln-	metastab
metekpaid-	metekpaid
Metelen-	Metelen
meteorite	meteor
meteoritic-	meteorit
meteoritik-	meteorit
meteoritn-	meteoritn
meteornyj	meteor
meteorolog-	meteorol
meteorico	meteor
methadone	methad
Methodenbeschreibung	Methodenbeschreib
Methodensammlung	Methodensamml
methodicus	method
methodiek	method
methodik-	method
methodisch	method
methodistisch	methodist
methodolog-	methodol
methorios	methor
metiz-	metiz
metodic-	metod
metodik-	metod
metodin-	metod
metodolog-	metodol
metodolog-	metodol
metodov	metod
metodyk-	metod
Metohija	Metoh
metrastis	metrast
metres-	metr
metric	metr
mtrica	mtr
metriceskij	metr
metrik-	metr
metroeconom-	metroecon
metrolog-	metrol
metrpoli	metrp
metropolia	metrop
metropolitan-	metrop
metropool	metrop
metropolis	metrop
metsaelaintiete-	metsaelaint
metsahallitus	metsahall
metsakirjasto	metsakirj
metsanviljely	metsanvilj
metsastys	mets
metsataloudelli-	metsataloud
metsatied-	metsatied
metsatieteellisen	metsat
Metsobit-	Metsob
metunarodn-	metunar
Metzger	Metzg
meubelindustrie	meubelind
meubileringsbedrijv-	meubileringsbedr
meunerie	meun
meunier	meun
meurneoba	meurn
meusien	meus
mexic-	mex
Mexiko	Mex
Mexique	Mex
mezinarodni	mezinar
mezomehani-	mezomeh
mezozouri	mezoz
Mezobereny	Mbereny
mezogazdasag	mezogazd
mezogazdasagtortenet	mezogazdtort
mezogazdasagtudomany	mezogazdtud
Mezokovacshaza	Mkovacsh
Mezotur	Mtur
mezovaros	mezov
mezsaimnie-	mezsaimn
mezzogiorno	mezzog
mezdunarod-	mezdunar
mezduvedomstvenn-	mezduved
mezfakultet-	mezfak
mezfazn-	mezfaz
mezgorn-	mezgorn
mezhozajstv-	mezhoz
mezinstitutsk-	mezinst
mezkristalli-	mezkrist
mezmolekul-	mezmol
mezoblastn-	mezobl
mezotraslev-	mezotrasl
mezplanet-	mezplanet
mezpravitelstv-	mezprav
mezrespublik-	mezresp
mezrupnieciba	mezrupn
mezvedomstv-	mezved
mezvuzovsk-	mezvuz
meimur-	meimur
meugeneracij-	meugener
meunarodn-	meunar
meuopcinsk-	meuopc
meuopstinsk-	meuopst
meruzel-	meruz
medic	med
medique	med
mecanographie	mecanogr
mecenat	mecen
meconn-	meconn
mediastin	mediast
mediatheque	mediath
medical	med
medicament	medicam
medico	med
mediev-	mediev
meditation	medit
megiss-	megiss
meheszet	mehesz
melodie	melod
melyepites	melyep
melyepitestudomany	melyeptud
memoir-	mem
menag-	menag
meneskonyv	meneskv
meretez-	meret
merestechnika	merestech
meresugy	meresu
merignacais	merignac
merleg	merl
merlegbeszamolo	merlbeszam
merlegtechnika	merltech
mernok	mern
mernoktovabbkepz-	merntovabbk
merovingien	meroving
mertekugy	merteku
mesotherap-	mesother
metaphys-	metaphys
metay-	metay
methodique	method
metod-	metod
metrique	metr
metropole	metrop
metropolitain	metrop
mezieriste	mezier
mehanokin-	mehanokin
mehanolog-	mehanol
menas	men
menes-	men
menesraksts	menesr
menum-	menum
menutor	menut
megej-	megej
menesinis	menes
medziag-	medzg
mergim-	merg
mesimore	mes
mereni	mer
merictvi	mer
mesicni-	mesic
miasten-	miasten
micen-	micen
Michigan	Mich
Michoacano	Michoac
michnakarg	michn
micilor	mic
micolog-	micol
micro-ordinateur	micro-ordinat
microanalys-	microanal
microanalyt-	microanal
microanatom-	microanat
microautoradiograph-	microautoradiogr
microbial	microb
microbienn-	microb
microbiolog-	microbiol
microcalorimetr-	microcalorim
microcardiograph-	microcardiogr
microchem-	microchem
microchim-	microchim
microcircolaz-	microcirc
microcirculacao	microcirc
microcirculat-	microcirc
microcirugia	microcir
microclimat-	microclim
microcoleccion	microcolecc
microcomponent-	microcompon
microcomput-	microcomput
microcrystal-	microcryst
microdensitometr-	microdensitom
microdosimetr-	microdosim
microecolog-	microecol
microeconomic	microecon
microelectroni-	microelectron
microencapsulation	microencapsul
microenvironment-	microenviron
microedit-	microed
microfabricat-	microfabr
microfich-	microfich
microfilm-	microfilm
microfluid-	microfluid
micrograf-	microgr
micrograph-	microgr
microheterogen-	microheterog
microinformatica	microinform
microinstrument-	microinstrum
microinvertebrate	microinvertebr
microlithograph-	microlithogr
micromachining	micromach
micromecaniq-	micromec
microminiaturization	microminiat
micromorpholog-	micromorphol
Micronesia-	Micrones
microneurosurg-	microneurosurg
Micrones-	Micrones
micronutrient-	micronutr
microorganism-	microorg
micropaleontolog-	micropaleontol
microphotometr-	microphotom
microphysic-	microphys
microprocess-	microprocess
microprofessional	microprof
microprogramm	microprogr
micropropagation	micropropag
micropropuls-	micropropuls
micropublish-	micropubl
microquimic-	microquim
microradiograph-	microradiogr
microreaction-	microreact
microscop-	microsc
microsensor-	microsens
microsocial	microsoc
microspectroscop-	microspectrosc
microssillon	micros
microstructur-	microstruct
microsurg-	microsurg
microsymposi-	microsymp
microsystem	microsyst
microtechni-	microtech
microtecni-	microtec
microvascul-	microvasc
microwavable	microwav
microwave	microw
microzonation	microzonat
micurinsk-	micurinsk
MidAtlantic	MidAtl
midcentral	midcent
midcontinent-	midcont
middelbaar	middelb
Middelburg	Middelbg
Midden-Kennemerland	Midden-Kennemerl
middenbedrijf	middenbedr
middenschool	middensch
middenstandsonderwijs	middenstandsonderw
middernachtsroep	middernachtsr
Middlesbrough	Middlesb
Middlesex	Middx
Middleton	Middlet
Middletown	Middlet
middleware	middlew
mideast-	mideast
midget	midg
midland	midl
midnorth-	midnorth
Midt-Norge	Midt-Nor
midtstenforsking	midtstenforsk
midwestern	midwest
Mieder	Mied
miejski-	miej
miembro	miemb
miernictwo	mier
Miesbach	Miesb
miesiecznik	mies
miest-	miest
miestnej	miest
mieszk-	mieszk
Mietingen-	Mieting
mietinto	miet
mietiskely	mietisk
Mietrecht	Mietr
miedzybibliotecz-	miedzybibl
miedzyczasteczkowy	miedzyczast
miedzynarod-	miedzynar
miedzyosied-	miedzyosied
miedzypolonijny	miedzypolon
miedzyuczelnian-	miedzyuczel
miedzywydziaowy	miedzywydz
miedzyzakadow-	miedzyzak
miesn-	mies
mightier	might
migrac-	migr
migracin	migr
migrant	migr
migratie	migr
migration-	migr
migrator-	migr
migratory	migr
migraz-	migr
migracio	migr
miholja-	miholj
Mijdrecht	Mijdr
mijnbouw	mijnb
mijnbouwkund-	mijnbouwkd
mijnhygiene	mijnhyg
Mijnsheerenland	Mijnsheerenl
mijnwerker	mijnwerk
mijnwezen	mijnwez
