# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Nihon Densenbyo Gakkai zasshi	Nihon Densenbyo Gakkai Zasshi
Nihon Eiyo Shokuryo Gakkai shi = Nippon Eiyo Shokuryo Gakkaishi = Journal of Japanese Society of Nutrition and Food Science	Nihon Eiyo Shokuryo Gakkai Shi
Nihon Funin Gakkai zasshi	Nihon Funin Gakkai Zasshi
Nihon Gan Chiryo Gakkai shi	Nihon Gan Chiryo Gakkai Shi
Nihon Geka Gakkai zasshi	Nihon Geka Gakkai Zasshi
Nihon Hansenbyo Gakkai zasshi = Japanese journal of leprosy : official organ of the Japanese Leprosy Association	Nihon Hansenbyo Gakkai Zasshi
Nihon Heikatsukin Gakkai zasshi	Nihon Heikatsukin Gakkai Zasshi
Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology	Nihon Hifuka Gakkai Zasshi.
Nihon Hinyokika Gakkai zasshi. The japanese journal of urology	Nihon Hinyokika Gakkai Zasshi.
Nihon Hoshasen Gijutsu Gakkai zasshi	Nihon Hoshasen Gijutsu Gakkai Zasshi
Nihon Hotetsu Shika Gakkai zasshi	Nihon Hotetsu Shika Gakkai Zasshi
Nihon Igaku Hoshasen Gakkai zasshi. Nippon acta radiologica	Nihon Igaku Hoshasen Gakkai Zasshi.
Nihon Ika Daigaku zasshi	Nihon Ika Daigaku Zasshi
Nihon Ishikai zasshi. Journal of the Japan Medical Association	Nihon Ishikai Zasshi.
Nihon Ishinkin Gakkai zasshi = Japanese journal of medical mycology	Nihon Ishinkin Gakkai Zasshi
Nihon Jibiinkoka Gakkai kaiho	Nihon Jibiinkoka Gakkai Kaiho
Nihon Jinzo Gakkai shi	Nihon Jinzo Gakkai Shi
Nihon Kango Kagakkai shi = Journal of Japan Academy of Nursing Science	Nihon Kango Kagakkaishi.
Nihon Kessen Shiketsu Gakkai shi = Japanese journal of thrombosis and hemostasis	Nihon Kessen Shiketsu Gakkai shi
Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	Nihon Ketsueki Gakkai Zasshi
Nihon Koku Geka Gakkai zasshi	Nihon Koku Geka Gakkai Zasshi
Nihon Kokyuki Gakkai zasshi = the journal of the Japanese Respiratory Society	Nihon Kokyuki Gakkai Zasshi
Nihon Kyobu Shikkan Gakkai zasshi	Nihon Kyobu Shikkan Gakkai Zasshi
Nihon Kyosei Shika Gakkai zasshi = The journal of Japan Orthodontic Society	Nihon Kyosei Shika Gakkai Zasshi
Nihon Naibunpi Gakkai zasshi	Nihon Naibunpi Gakkai Zasshi
Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine	Nihon Naika Gakkai Zasshi.
Nihon Rai Gakkai zasshi	Nihon Rai Gakkai Zasshi
Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology	Nihon Rinsho Meneki. Gakkai Kaishi
Nihon Rinsho Shishubyo Danwakai kaishi	Nihon Rinsho Shishubyo Danwakai Kaishi
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics	Nihon Ronen Igakkai Zasshi.
Nihon Sakumotsu Gakkai kiji	Jpn. J. Crop. Sci.
Nihon Sanka Fujinka Gakkai zasshi	Nihon Sanka Fujinka Gakkai Zasshi
Nihon Seikeigeka Gakkai zasshi	Nihon Seikeigeka Gakkai Zasshi
Nihon Shika Ishikai zasshi	Nihon Shika Ishikai Zasshi
Nihon Shika Zairyo Kikai Gakkai zasshi. The Journal of the Japan Research Society of Dental Materials & Appliances	Nihon Shika Zairyo Kikai Gakkai Zasshi.
Nihon Shishubyo Gakkai kaishi	Nihon Shishubyo Gakkai Kaishi
Nihon Shokaki Geka Gakkai zasshi	Nihon Shokaki Geka Gakkai Zasshi
Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology	Nihon Shokakibyo Gakkai Zasshi
Nihon Shoni Junkanki Gakkai zasshi = Pediatric cardiology and cardiac surgery	Nihon Shoni Junkanki Gakkai Zasshi
Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	Nihon Shonika Gakkai Zasshi.
Nihon Sutoma Rihabiriteshon Gakkaishi [Journal Of Japanese Society Of Stoma Rehabilitation]	Nihon Sutoma Rihabiriteshon Gakkaishi J. Jpn. Soc. Stoma Rehabil.
Nihon eiseigaku zasshi. Japanese journal of hygiene	Nihon Eiseigaku Zasshi.
Nihon ganka kiyo	Nihon Ganka Kiyo
Nihon geka hokan. Archiv fur japanische Chirurgie	Nihon Geka Hokan.
Nihon hoigaku zasshi = The Japanese journal of legal medicine	Nihon Hoigaku Zasshi
Nihon ishigaku zasshi. [Journal of Japanese history of medicine]	Nihon Ishigaku Zasshi.
Nihon juigaku zasshi. The Japanese journal of veterinary science	Nihon Juigaku Zasshi.
Nihon rinsho. Japanese journal of clinical medicine	Nihon Rinsho.
Nihon saikingaku zasshi. Japanese journal of bacteriology	Nihon Saikingaku Zasshi.
Nihon seirigaku zasshi. Journal of the Physiological Society of Japan	Nihon Seirigaku Zasshi.
Nihon shi kenkyu	Nihonshi. Kenkyu
Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology	Nihon Shinkei Seishin Yakurigaku Zasshi
Nihon yakurigaku zasshi. Folia pharmacologica Japonica	Nihon Yakurigaku Zasshi.
Niigata Igakkai zasshi. Niigata medical journal	Niigata Igakkai Zasshi.
Nineteenth century (Philadelphia, Pa.)	Ninet. Century
Nineteenth-century French studies	Ninet. Century. Fr. Stud.
Nineteenth-century contexts	Ninet. Century. Contexts
Nineteenth-century fiction	Nineteenth. Century. Fict.
Nineteenth-century literature	Ninet. Century. Lit.
Ninety nine	Ninety Nine
Nippon Ganka Gakkai zasshi	Nihon. Ganka Gakkai Zasshi
Nitric oxide : biology and chemistry / official journal of the Nitric Oxide Society	Nitric Oxide
Njsna Newsletter	NJSNA Newsl.
No shinkei geka. Neurological surgery	No Shinkei Geka.
No to hattatsu. Brain and development	No To Hattatsu.
No to shinkei = Brain and nerve	No To Shinkei
Noesis (Pau, France)	Noesis
Noise & health	Noise Health
Nomadic peoples	Nomad. People.
Non-pharmacological therapies in dementia	Nonpharmacol. Ther. Dement.
Nonlinear analysis, theory, methods & applications	Nonlinear Anal. Theory. Methods Appl.
Nonlinear analysis. Real world applications	Nonlinear Anal. Real World Appl.
Nonlinear dynamics, psychology, and life sciences	Nonlinear Dynamics. Psychol. Life Sci.
Nonlinearity	Nonlinearity
Noordgouw	Noordgouw
Nordic journal of psychiatry	Nord. J. Psychiatry
Nordisk alkohol- & narkotikatidskrift : NAT	Nordisk Alkohol. Nark.
Nordisk medicinhistorisk arsbok	Nord. Medicinhist. Arsb.
Nordisk ost-forum	Nordisk Ost. Forum.
Nordisk psykiatrisk medlemsblad	Nord. Psyk. Medl.
Nordisk psykiatrisk tidsskrift. Nordic journal of psychiatry	Nord. Psykiatr. Tidsskr.
Nordisk veterinaermedicin	Nord. Vet. Med.
Nordost-Archiv	Nordost. Arch.
Normale und pathologische Anatomie	Norm. Pathol. Anat. (Stuttg).
Norois	Norois
Norsk epidemiologi = Norwegian journal of epidemiology	Nor. Epidemiol.
Norsk geografisk tidsskrift. Norwegian journal of geography	Nor. Geogr. Tidsskr.
Norsk theologisk tidsskrift	Nor. Teol. Tidsskr.
North American actuarial journal : NAAJ	N. Am. Actuar. J.
North American journal of aquaculture	N. Am. J. Aquac.
North American journal of medical sciences	N. Am. J. Med. Sci.
North American journal of medicine & science	N. Am. J. Med. Sci. (Boston).
North American journal of psychology	N. Am. J. Psychol.
North American journal of sports physical therapy : NAJSPT	N. Am. J. Sports Phys. Ther.
North Carolina Central law journal	North Carol. Centr. Law J.
North Carolina dental gazette : a publication of North Carolina Dental Society	N. C. Dent. Gaz.
North Carolina dental journal	N. C. Dent. J.
North Carolina folklore	N. C. Folklor.
North Carolina journal of mental health	N. C. J. Ment. Health
North Carolina law review	North Carol. Law Rev.
North Carolina medical journal	N. C. Med. J.
North Dakota century code : containing statutes of a general and permanent nature ... North Dakota	N. D. Century Code N. D.
North Dakota history	N. D. Hist.
North Dakota law review	N. D. Law Rev.
North eastern reporter. Second series	North East. Rep. Second Ser.
North western reporter. Second series	North West. Rep. Second Ser.
North-western journal of zoology	North. West. J. Zool.
Northeast African Studies	Northeast Afr. Stud.
Northeast historical archaeology	Northeast Hist. Archaeology
Northern Illinois University law review	North. Ill. Univ. Law Rev.
Northern Kentucky State law forum	North. Ky. State Law Forum
Northern Kentucky law review	North. KY. Law Rev.
Northern New York medical journal	North. N. Y. Med. J.
Northern Virginia heritage	North. Va. Herit.
Northwest report : a newsletter of the Northwest Area Foundation	Northwest Rep.
Northwestern University law review	Northwest. Univ. Law Rev.
Northwestern journal of law and social policy	Northwest. J. Law Soc. Policy
Northwestern naturalist : a journal of vertebrate biology	Northwest. Nat. (Olymp.. Wash.).
Noseleutike	Noseleutike
Noshuyo byori = Brain tumor pathology	Noshuyo Byori
Nosokomeiaka chronika	Nosokom. Chron.
Notas de poblacion	Notas Poblacion
Notas de salud publica	Notas Salud Publica
Notas quirurgicas del Sanatorio Deschamps	Notas Quir. Sanat. Deschamps
Notatki plockie	Notatki Plockie
Note e riviste di psichiatria	Note Riv. Psichiatr.
Notes and queries	Notes Queries
Notes and records of the Royal Society of London	Notes Rec. R. Soc. Lond.
Notes from the underground (New York, N.Y.)	Notes Undergr.
Notes on tuberculosis ...	Notes Tuberc.
Notes. Czechoslovak Medical Association in Great Britain	Notes. Czechoslov. Med. Assoc. G. B.
Notices of the American Mathematical Society. American Mathematical Society	Not. Am. Math. Soc.
Notiziario dell'amministrazione sanitaria. Italy. Alto commissariato per l'igiene e la sanita pubblica	Not. Ammin. Sanit. (1948).
Notizie di Politeia	Not. Polit.
Notre Dame journal of law, ethics & public policy	Notre Dame J. Law. Ethics Public Policy
Nous (Detroit, Mich.)	Nous
Nouson kougaku kenkyuujo gihou = Technical report of the National Institute for Rural Engineering	Nouson Kougaku Kenkyuujo Gihou
Nouvelle revue du XVIe siecle	Nouv. Rev. 16e. Siecle
Nouvelle revue francaise d'hematologie	Nouv. Rev. Fr. Hematol.
Nouvelle revue francaise d'hematologie; blood cells	Nouv. Rev. Fr. Hematol. Blood Cells
Nouvelles - Comite international catholique des infirmieres et assistantes medico-sociales. News - International Committee of Catholic Nurses and Medico-Social Workers	Nouv. Com. Int. Cathol. Infirm. Assist. Med. Soc.
Nouvelles de la republique des lettres (Naples, Italy)	Nouv. Repub. Lett.
Nova Scotia historical review	N. S. Hist. Rev.
Nova acta Leopoldina : Abhandlungen der Kaiserlich Leopoldinisch-Carolinisch Deutschen Akademie der Naturforscher	Nova Acta Leopold.
Nova acta Paracelsica : ... Jahrbuch der Schweizerischen Paracelsus-Gesellschaft	Nova Acta Paracelsica
Nova acta stomatologica	Nova Acta Stomatol.
Nova economia (Belo Horizonte, Brazil)	Nova Econ.
Nova law journal	Nova Law J.
Nova law review	Nova Law Rev.
Novaia i noveishaia istoriia	Nov. Novejsaja. Istor.
Novosti meditsinskogo priborostroeniia	Nov. Med. Priborostr.
Novosti meditsinskoi tekhniki	Nov. Med. Tekh.
Novyi khirurgicheskii arkhiv	Novyi Khirurgicheskii Arkhiv
Nowe drogi	Nowe Drogi
Nowiny lekarskie : organ Wydzialu Lekarskiego Towarzystwa Przyjaciol Nauk Posnanskiego	Now. Lekarskie Organ Wydz. Lekarskiego Tow. Przyj. Nauk Posnanskiego
Nowotwory	Nowotwory
Nuclear engineering and design/fusion : an international journal devoted to the thermal, mechanical, materials, structural, and design problems of fusion energy	Nucl. Eng. Des/Fusion.
Nuclear instruments & methods in physics research. Section A, Accelerators, spectrometers, detectors and associated equipment	Nucl. Instrum. Methods Phys. Res. A.
Nuclear instruments & methods in physics research. Section B, Beam interactions with materials and atoms	Nucl. Instrum. Methods Phys. Res. B.
Nuclear medicine and molecular imaging	Nucl. Med. Mol. Imaging (2010).
Nuclear physics. A	Nucl. Phys. A
Nuclear science and engineering : the journal of the American Nuclear Society	Nucl. Sci. Eng.
Nuclear-Medizin	Nucl. Med. (Stuttg).
Nucleic acid therapeutics	Nucleic Acid Ther.
Nucleic acids research	Nucleic Acids Res.
Nucleic acids research. Supplement (2001)	Nucleic Acids Res. Suppl.
Nucleic acids symposium series	Nucleic Acids Symp. Ser.
Nucleic acids symposium series (2004)	Nucleic Acids Symp. Ser. (Oxf).
Nucleonics	Nucleonics
Nucleosides & nucleotides	Nucleosides Nucleotides
Nucleosides, nucleotides & nucleic acids	Nucleosides. Nucleotides Nucleic Acids
Nucleus (Austin, Tex.)	Nucleus
Nuevas ideas; revista de medicina	Nuevas Ideas. Rev. Med.
Nuevos libros / Acuerdo de Cartagena, Junta, Biblioteca	Nuevos Libros
Nuklearmedizin. Nuclear medicine	Nuklearmedizin.
Numen	Numen
Numerical methods for partial differential equations	Numer. Methods Partial Differ. Equ.
Nuncius / Istituto e museo di storia della scienza	Nuncius
Nuova antologia	Nuova Antologia
Nuovi annali d'igiene e microbiologia	Nuovi Ann. Ig. Microbiol.
Nurse author & editor	Nurse Author Ed.
Nurse education today	Nurse Educ. Today
Nurse managers' bookshelf	Nurse Managers. Bookshelf
Nurse practitioner forum	Nurse Pract. Forum
Nursing	Nursing (Lond).
Nursing & health care : official publication of the National League for Nursing	Nurs. Health Care
Nursing & health sciences	Nurs. Health Sci.
Nursing : research and reviews	Nursing (Auckl).
Nursing BC / Registered Nurses Association of British Columbia	Nurs. BC
Nursing Montreal	Nurs. Montreal
Nursing New Zealand	Nurs. N. Z.
Nursing New Zealand (Wellington, N.Z. : 1995)	Nurs. N. Z.
Nursing Quebec	Nurs. Que.
Nursing RSA = Verpleging RSA	Nurs. RSA
Nursing and health care perspectives	Nurs. Health Care Perspect.
Nursing care	Nurs. Care
Nursing careers	Nurs. Careers
Nursing case management : managing the process of patient care	Nurs. Case Manag.
Nursing children and young people	Nurs. Child. Young People
Nursing diagnosis : ND : the official journal of the North American Nursing Diagnosis Association	Nurs. Diagn.
Nursing educators microworld	Nurs. Educ. Microworld
Nursing ethics	Nurs. Ethics
Nursing for women's health	Nurs. Womens. Health
Nursing forum	Nurs. Forum
Nursing history review : official journal of the American Association for the History of Nursing	Nurs. Hist. Rev.
Nursing homes	Nurs. Homes
Nursing homes and senior citizen care	Nurs. Homes Sr. Citiz. Care
Nursing in critical care	Nurs. Crit. Care
Nursing journal	Nurs. J. (Manila).
Nursing law & ethics,	Nurs. Law Ethics.
Nursing law's Regan report	Nurs. Law. Regan Rep.
Nursing leadership (Toronto, Ont.)	Nurs. Leadersh. (Tor. Ont).
Nursing leadership forum	Nurs. Leadersh. Forum
Nursing management	Nurs. Manage.
Nursing management (Harrow, London, England : 1994)	Nurs. Manag. (Harrow).
Nursing mirror	Nurs. Mirror
Nursing mirror and midwives journal	Nurs. Mirror Midwives J.
Nursing news	Nurs. News (Meriden).
Nursing older people	Nurs. Older People
Nursing outlook	Nurs. Outlook
Nursing papers. Perspectives en nursing	Nurs. Pap.
Nursing philosophy : an international journal for healthcare professionals	Nurs. Philos.
Nursing practice (Edinburgh, Scotland)	Nurs. Pract.
Nursing praxis in New Zealand inc	Nurs. Prax. N. Z.
Nursing spectrum (D.C./Baltimore metro ed.)	Nurs. Spectr. (Wash. D. C).
Nursing spectrum (Florida ed.)	Nurs. Spectr. (Fla. Ed).
Nursing spectrum (Greater Philadelphia/Tri-state ed.)	Nurs. Spectr. (Gt. Phila. Tri. State. Ed).
Nursing spectrum (Illinois ed.)	Nurs. Spectr. (Gt. Chic. Ne. Ill. Nw. Indiana. Ed).
Nursing spectrum (New England ed.)	Nurs. Spectr. (N. Engl. Ed).
Nursing standard (Royal College of Nursing (Great Britain) : 1987)	Nurs. Stand.
Nursing standard (Royal College of Nursing (Great Britain) : 1987). Special supplement	Nurs. Stand. Spec. Suppl.
Nursing standard : official newspaper of the Royal College of Nursing	Nurs. Stand.
Nursing success today	Nurs. Success Today
Nursing the elderly : in hospital, homes and the community	Nurs. Elder.
Nursing times	Nurs. Times
Nursing times. Nursing homes	Nurs. Times. Nurs. Homes
Nursing world	Nurs. World
NursingConnections	Nursingconnections
NursingLife	Nurs. Life.
Nutricion hospitalaria : organo oficial de la Sociedad Espanola de Nutricion Parenteral y Enteral	Nutr. Hosp.
Nutrients	Nutrients
Nutritio et dieta; European review of nutrition and dietetics	Nutr. Dieta. Eur. Rev. Nutr. Diet.
Nutrition & diabetes	Nutr. Diabetes
Nutrition & dietetics: the journal of the Dietitians Association of Australia	Nutr. Diet.
Nutrition & metabolism	Nutr. Metab. (Lond).
Nutrition (Burbank, Los Angeles County, Calif.)	Nutrition
Nutrition abstracts and reviews. Series A: Human and experimental	Nutr. Abstr. Rev. Ser. Hum. Exp.
Nutrition and cancer	Nutr. Cancer
Nutrition and health	Nutr. Health
Nutrition and metabolic insights	Nutr. Metab. Insights
Nutrition bulletin / BNF	Nutr. Bull.
Nutrition for healthy living	Nutr. Healthy Living
Nutrition for life	Nutr. Life
Nutrition history notes / Vanderbilt Medical Center Library	Nutr. Hist. Notes
Nutrition in clinical care : an official publication of Tufts University	Nutr. Clin. Care
Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition	Nutr. Clin. Pract.
Nutrition news	Nutr. News (Rosemt).
Nutrition reports international	Nutr. Rep. Int.
Nutrition research (New York, N.Y.)	Nutr. Res.
Nutrition today	Nutr. Today
Nutrition update	Nutr. Update
Nutrition, metabolism, and cardiovascular diseases : NMCD	Nutr. Metab. Cardiovasc. Dis.
O Biologico	Biol.
O Lar do medico	Lar Do Med.
O Medico; semanario de assuntos medicos e paramedicos	Medico. (Porto).
OH. Osteopathic hospitals	OH.
ONS news / Oncology Nursing Society	ONS News
OR manager	OR Manager
OR tech	OR Tech
ORGYN : Organon's magazine on women & health	ORGYN
ORINS [reports]. U.S. Atomic Energy Commission	ORINS Rep. US. At. Energy Comm.
ORL-head and neck nursing : official journal of the Society of Otorhinolaryngology and Head-Neck Nurses	ORL. Head. Neck Nurs.
ORL; journal for oto-rhino-laryngology and its related specialties	ORL. J. Otorhinolaryngol. Relat. Spec.
ORNL-NSIC [reports]. U.S. Atomic Energy Commission	ORNL-NSIC Rep.
ORNL-TM [reports]. U.S. Atomic Energy Commission	ORNL-TM Rep.
ORNL. U.S. Atomic Energy Commission	ORNL.
ORO [reports]. U.S. Atomic Energy Commission	ORO Rep.
OTJR : occupation, participation and health	OTJR (Thorofare. N. J).
Ob. gyn. news	Ob. Gyn. News
Ob/gyn World	Ob/Gyn World
Obesity (Silver Spring, Md.)	Obesity (Silver Spring).
Obesity and metabolism	Obe. Metab.
Obesity facts	Obes. Facts
Obesity reviews : an official journal of the International Association for the Study of Obesity	Obes. Rev.
Objets et mondes : la revue du Musee de l'homme, Museum national d'histoire naturelle	Objets Mondes
Obradoiro de historia moderna / Universidade de Santiago de Compostela	Obradoiro Hist. Mod.
Observations et diagnostics economiques. Revue de l'OFCE	Obs. Diagn. Econ.
Obstetrica si ginecologia	Obstet. Ginecol. (Bucur).
Obstetricia y ginecologia latino-americanas	Obstet. Ginecol. Lat. Am.
Occasional newsletter (Lindsay Club)	Occas. Newsl. Lindsay. Club.
Occasional paper (Royal College of General Practitioners)	Occas. Pap. R. Coll. Gen. Pract.
Occasional papers (Texas Tech University. Museum)	Occas. Pap. Tex. Tech Univ. Mus.
Occupational Health	Occup. Health (Auckl).
Occupational health & safety (Waco, Tex.)	Occup. Health Saf.
Occupational health nursing	Occup. Health Nurs.
Occupational health review	Occup. Health Rev.
Occupational health; a journal for occupational health nurses	Occup. Health (Lond).
Occupational medicine	Occup. Med. (Chic. Ill).
Occupational medicine (Oxford, England)	Occup. Med. (Lond).
Occupational medicine (Philadelphia, Pa.)	Occup. Med.
Occupational outlook quarterly / United States Department of Labor, Bureau of Labor Statistics in cooperation with Veterans Administration	OCCUP. Outlook Q.
Occupations; the vocational guidance journal	Occupations.
Oceania; a journal devoted to the study of the native peoples of Australia, New Guinea, and the Islands of the Pacific	Oceania.
Oceanography (Washington, D.C.)	Oceanography (Wash. D. C).
Ochsner Clinic reports	Ochsner Clin. Rep.
Odont	Odont
Odontes	Odontes
Odontiatrike	Odontiatriki.
Odonto-stomatologie tropicale = Tropical dental journal	Odontostomatol. Trop.
Odontoestomatologia	Odontoestomatologia
Odontoiatria e protesi dentaria	Odontoiatr. Protesi Dent.
Odontoiatria; revista ibero-americana de medicina de la boca	Odontoiatr. Rev. Iberoam. Med. Boca
Odontologia	Odontol. (Habana).
Odontologia (Paris, France)	Odontologia
Odontologia bonaerense. / FOPBA, Federacion Odontologica de la Pcia. de Bs. As	Ondontol. Bonaer.
Odontologia capixaba	Odontol. Capixaba
Odontologia de postgrado	Odontol. Postgrado
Odontologia uruguaya	Odontol. Urug.
Odontologica	Odontologica
Odontologisk revy	Odontol. Revy
Odontologisk revy. Supplement	Odontol. Revy. Suppl.
Odontologo	Odontologo (Belo. Horizonte).
Odontology / the Society of the Nippon Dental University	Odontology
Odontoprotesi	Odontoprotesi
Odontostomatologia E Implantoprotesi	Odontostomatol. Implantoprotesi
Odontostomatologike proodos	Odontostomatol. Proodos
Oecologia	Oecologia
Oeconomica Polona	Oecon. Pol.
Oesterreichische Apotheker Zeitung	Osterr. Apoth. Ztg.
Oesterreichische Dentisten Zeitschrift	Osterr. Dent. Z.
Off our backs	Off Our Backs
Official journal of the Canadian Association of Critical Care Nurses / CACCN	Off. J. Can. Assoc. Crit. Care Nurs.
Official publication. Dental Hygienists' Association of the State of New York	Off. Publ. Dent. Hyg. Assoc. State N. Y.
Official records. World Health Organization	Off. Rec. World Health Organ.
Oftalmologia (Bucharest, Romania : 1990)	Oftalmologia
Oftalmologicheskii zhurnal	Oftalmol. Zh.
Ohio Northern University law review	Ohio North. Univ. Law Rev.
Ohio State law journal	Ohio State Law J.
Ohio history / Ohio Historical Society	Ohio Hist.
Ohio medicine : journal of the Ohio State Medical Association	Ohio Med.
Ohio nurses review	Ohio Nurses Rev.
Ohio public health	Ohio Public Health
Oikos (Copenhagen, Denmark)	Oikos
Oil, paint, and drug reporter	Oil. Paint. Drug Report.
Okajimas folia anatomica Japonica	Okajimas Folia Anat. Jpn.
Okayama Igakkai zasshi	Okayama Igakkai zasshi
Oklahoma City University law review. Oklahoma City University	Oklahoma City Univ. Law Rev.
Oklahoma law review	Oklahoma Law Rev.
Oklahoma statutes annotated. Oklahoma	Okla. Statut. Annot. Okla.
Old English newsletter	Old Engl. Newsl.
Oldenburgische Familienkunde	Oldenburg. Familienkd.
Oligonucleotides	Oligonucleotides
Omaly sy anio. Hier et aujourd'hui	Omaly Anio.
Omega	Omega
Omics : a journal of integrative biology	OMICS
Omni (New York, N.Y.)	Omni
Omnia medica	Omnia Med.
Omnia medica et therapeutica	Omnia Med. Ther.
Omnia medica. Supplemento	Omnia Med. Suppl.
Omvardaren	Omvardaren
On the state of the public health. Great Britain. Ministry of Health	On State public health (1921).
OnLine journal of biological sciences	Online J. Biol. Sci.
OncoTargets and therapy	Onco. Targets. Ther.
Oncodevelopmental biology and medicine : the journal of the International Society for Oncodevelopmental Biology and Medicine	Oncodev. Biol. Med.
Oncogene	Oncogene
Oncogenesis	Oncogenesis
Oncoimmunology	Oncoimmunology
Oncologia	Oncol.
Oncologica / Vereniging van Oncologie Verpleegkundigen	Oncologica
Oncology	Oncology
Oncology (Williston Park, N.Y.)	Oncology (Williston Park).
Oncology nursing forum	Oncol. Nurs. Forum
Oncology reports	Oncol. Rep.
Oncotarget	Oncotarget
One on one	One One
Onkologie	Onkologie
Online journal of bioinformatics : OJB	Online J. Bioinform.
Online journal of health and allied sciences : OJHAS	Online J. Health Allied Sci.
Online journal of health ethics / the University of Mississippi Medical Center	Online J. Health Ethics
Online journal of issues in nursing	Online J. Issues Nurs.
Online journal of public health informatics	Online J. Public Health Inform.
Online journal of rural nursing and health care : the official journal of the Rural Nurse Organization	Online J. Rural Nurs. Health Care
Online journal of veterinary research : OJVR	Online J. Vet. Res.
Ons Amsterdam	Ons Amst.
Ons heem	Ons Heem
Ontario dentist	Ont. Dent.
Ontario health technology assessment series	Ont. Health Technol. Assess. Ser.
Ontario history	Ont. Hist.
Ontario medical review	Ont. Med. Rev.
Ontogenez	Ontogenez
Oostvlaamsche zanten	Oostvlaam. Zanten
Open access animal physiology	Open Access Anim. Physiol.
Open access bioinformatics	Open Access Bioinformatics
Open access emergency medicine : OAEM	Open Access Emerg. Med.
Open access insect physiology	Open access insect physiol.
Open access journal of clinical trials	Open Access J. Clin. Trials
Open medicine : a peer-reviewed, independent, open-access journal	Open Med.
Open memo. National Health and Medical Research Council (Australia). Fatigue Laboratory	Open Memo. Natl. Health Med. Res. Counc. Aust.
Operative Orthopadie und Traumatologie	Oper. Orthop. Traumatol.
Operative techniques in sports medicine	Oper. Tech. Sports Med.
Ophtalmologie : organe de la Societe francaise d'ophtalmologie	Ophtalmologie
Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists)	Ophthalmic Physiol. Opt.
Ophthalmic plastic and reconstructive surgery	Ophthal. Plast. Reconstr. Surg.
Ophthalmic surgery and lasers	Ophthalmic Surg. Lasers
Ophthalmic surgery, lasers & imaging : the official journal of the International Society for Imaging in the Eye	Ophthalmic Surg. Lasers Imaging
Ophthalmic surgery, lasers & imaging retina	Ophthalmic Surg. Lasers Imaging Retina
Ophthalmologia ibero americana	Ophthalmol. Ibero Am.
Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift fur Augenheilkunde	Ophthalmologica.
Ophthalmology	Ophthalmology
Ophthalmology and eye diseases	Ophthalmol. Eye Dis.
Opinions of the Attorney General--State of Maryland. Maryland. Attorney General's Office	Opin. Atty. Gen. State. Md. Md. Atty. Gen. Off.
Optica acta	Opt. Acta (Lond).
Optical Materials	Opt. Mater. (Amst).
Optical engineering (Redondo Beach, Calif.)	Opt. Eng.
Optical materials express	Opt. Mater. Express
Optics and lasers in engineering	Opt. Lasers Eng.
Optics and photonics news	Opt. Photonics News
Optics express	Opt. Express
Optik	Optik (Stuttg).
Optimal control applications & methods	Optim. Control Appl. Methods
Optimization methods & software	Optim. Methods Softw.
Options for policy and practice	Options Policy Pract.
Optoelectronic materials and devices	Optoelectron. Mater. Devices
Optometra	Optometra
Optometric Glaucoma Society e-journal	Optom. Glaucoma Soc. E. J.
Optometry (St. Louis, Mo.)	Optometry
Optometry and vision science : official publication of the American Academy of Optometry	Optom. Vis. Sci.
Optometry clinics : the official publication of the Prentice Society	Optom. Clin.
Opuscula medica	Opusc. Med.
Opusculum	Opusculum
Oral & implantology	Oral Implantol. (Rome).
Oral biosciences & medicine : OBM	Oral Biosci. Med.
Oral health	Oral Health
Oral health & preventive dentistry	Oral Health Prev. Dent.
Oral health and dental management	Oral Health Dent. Manag.
Oral surgery, oral diagnosis : OSD	Oral Surg. Oral Diagn.
Oral surgery, oral medicine, and oral pathology	Oral Surg. Oral Med. Oral Pathol.
Oral surgery, oral medicine, oral pathology and oral radiology	Oral Surg. Oral Med. Oral Pathol. Oral Radiol.
Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics	Oral Surg. Oral Med. Oral Pathol. Oral Radiol. Endod.
Oral-prophylaxe / Herausgeber, Verein fur Zahnhygiene e.V	Oralprophylaxe.
Orbis	Orbis
Orbit (Amsterdam, Netherlands)	Orbit
Oregon health bulletin	Or. Health Bull.
Oregon historical quarterly. Oregon Historical Society	Oreg. Hist. Q.
Oregon law review	Oregon Law Rev.
Oregon revised statutes : containing, with some exceptions, the statute laws of Oregon of a general, public and permanent nature ... Oregon	Or. Revis. Statut. Or.
Oregon state dental journal	Oreg. State Dent. J.
